Rank, Name,"	Pay ($ mln)", Salary/Winnings ($ mln) ,Endorsements ($ mln),Sport
"1	",CRISTIANO RONALDO,93,"	58","	35",SOCCER
"2	","LEBRON JAMES	",86,"	31","	55",BASKETBALL
"3	","LIONEL MESSI	","80	","53	","27	",SOCCER
"4	","ROGER FEDERER	",64,"	6","	58",TENNIS
"5	","KEVIN DURANT	","61	","27	","34	",BASKETBALL
"6	","RORY MCILROY	",50,"	16","	34",GOLF
"6	","ANDREW LUCK	","50	",47,"	3	",FOOTBALL
"8	",STEPHEN CURRY,"	47	",12,"	35	",BASKETBALL
"9	","JAMES HARDEN	",47,"	27	",20,BASKETBALL
"10	","LEWIS HAMILTON	","46	",38,"	8	",AUTO RACING
"11	","DREW BREES	",45,"	31","	14",FOOTBALL
"12	",PHIL MICKELSON,"	44","	4	",40,GOLF
"13	",RUSSELL WESTBROOK,"39	",27,"	12",BASKETBALL
"14	",SEBASTIAN VETTEL,39,"	38","	1",AUTO RACING
"15	","DAMIAN LILLARD	","38	","24	","14	",BASKETBALL
"16	","NOVAK DJOKOVIC	","38	",10,"	28",TENNIS
"17	","TIGER WOODS	","37	",0,"	37	",GOLF
"18	","NEYMAR	",37,"	15","	22",SOCCER
"19	","DWYANE WADE	","36	","23	","13	",BASKETBALL
"20	",FERNANDO ALONSO,"36	",34,"	2	",AUTO RACING
"21	","JORDAN SPIETH	",35,"	6	","29	",GOLF
"22	","DERRICK ROSE	","34	",21,"	13",BASKETBALL
"23	","USAIN BOLT	","34	","2	","32	",TRACK
"24	",CONOR MCGREGOR,"34	","27	","7	",MIXED MARTIAL ARTS
"24	","GARETH BALE	","34	",23,"	11	",SOCCER
26,"	KEI NISHIKORI","	34	","4	",30,"	TENNIS"
"27	","FLETCHER COX	","33	","33	",0,"	FOOTBALL"
"28	",CLAYTON KERSHAW,"33	",33,"	1	",BASEBALL
"29	",CARMELO ANTHONY,"33	",25,"	8	",BASKETBALL
"30	",ZLATAN IBRAHIMOVIC,"32	",27,"	5	",SOCCER
31,"	ANTONIO BROWN	",32,"	29","	3","	FOOTBALL"
"32	","DEMAR DEROZAN	","32	","27	","5	",BASKETBALL
"33	","RAFAEL NADAL	","32	","6	",26,"	TENNIS"
"34	","ERIC BERRY	","31	","31	",0,"	FOOTBALL"
"35	","CHRIS PAUL	",31,"	23","	8	",BASKETBALL
"36	",DAVID PRICE,"	31	","30	","1	",BASEBALL
"37	",MIGUEL CABRERA,"	30","	28","	2","	BASEBALL"
"38	",KYRIE IRVING,"	30","	18","	12","	BASKETBALL"
"39	",STEPHON GILMORE,"29	",29,"	0	",FOOTBALL
"40	",JUSTIN VERLANDER,"29	",28,"	1	",BASEBALL
"40	","ANDY MURRAY	",29,"	15","	14","	TENNIS"
"42	",MIKE CONLEY,"	29	","27	","2	",BASKETBALL
"43	","CANELO ALVAREZ	","29	",27,"	2	",BOXING
"44	","VON MILLER	",28,"	25","	3","	FOOTBALL"
"44	","AL HORFORD	",28,"	27","	2","	BASKETBALL"
"44	","BLAKE GRIFFIN	","28	","20	",8,"	BASKETBALL"
"44	","ANTHONY DAVIS	",28,"	22","	6","	BASKETBALL"
"48	","DUSTIN JOHNSON	","28	","17	","11	",GOLF
"49	","ALBERT PUJOLS	",27,"	25","	2","	BASEBALL"
"50	",DWIGHT HOWARD,27,"	23","	4","	BASKETBALL"